0050,元大台灣50
0051,元大中型100
0052,富邦科技
0053,元大電子
0055,元大MSCI金融
0056,元大高股息
0057,富邦摩台
0061,元大寶滬深
006203,元大MSCI台灣
006205(新臺幣),富邦上証(新臺幣)
00625K(人民幣),富邦上証+R(人民幣)
006204,永豐臺灣加權
006206,元大上證50
006207,復華滬深(原簡稱:FH滬深)
006208,富邦台50
00631L,元大台灣50正2
00632R,元大台灣50反1
00633L,富邦上証正2
00634R,富邦上証反1
00636(新臺幣),國泰中國A50(新臺幣)
00636K(美元),國泰中國A50+U(美元)
00635U,期元大S&P黃金
00637L,元大滬深300正2
00638R,元大滬深300反1
00639,富邦深100
00642U,期元大S&P石油
00640L,富邦日本正2
00641R,富邦日本反1
00645,富邦日本
00643(新臺幣),群益深証中小(新臺幣)
00643K(人民幣),群益深証中小+R(人民幣)
00646,元大S&P500
00647L,元大S&P500正2
00648R,元大S&P500反1
00650L,復華香港正2(原簡稱:FH香港正2)
00651R,復華香港反1(原簡稱:FH香港反1)
00655L,國泰中國A50正2
00656R,國泰中國A50反1
00652,富邦印度
00653L,富邦印度正2
00654R,富邦印度反1
00657(新臺幣),國泰日經225(新臺幣)
00657K(美元),國泰日經225+U(美元)
00660,元大歐洲50
00661,元大日經225
00662,富邦NASDAQ
00663L,國泰臺灣加權正2
00664R,國泰臺灣加權反1
00665L,富邦恒生國企正2
00666R,富邦恒生國企反1
00675L,富邦臺灣加權正2
00676R,富邦臺灣加權反1
00673R,期元大S&P原油反1
00674R,期元大S&P黃金反1
00669R,國泰美國道瓊反1
00668(新臺幣),國泰美國道瓊(新臺幣)
00668K(美元),國泰美國道瓊+U(美元)
00678,群益那斯達克生技(原簡稱:群益NBI生技)
00680L,元大美債20正2
00681R,元大美債20反1
00670L,富邦NASDAQ正2
00671R,富邦NASDAQ反1
00682U,期元大美元指數
00683L,期元大美元指正2
00684R,期元大美元指反1
00685L,群益臺灣加權正2
00686R,群益臺灣加權反1
00690,兆豐藍籌30
00688L,國泰20年美債正2
00689R,國泰20年美債反1
00693U,期街口S&P黃豆
00692,富邦公司治理
00700,富邦恒生國企
00703,台新MSCI中國
00709,富邦歐洲
00701,國泰股利精選30
00702,國泰標普低波高息
00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
00711B,復華彭博新興債(原簡稱:FH彭博新興債)
00712,復華富時不動產(原簡稱:FH富時不動產)
00706L,期元大S&P日圓正2
00707R,期元大S&P日圓反1
00708L,期元大S&P黃金正2
00713,元大台灣高息低波
00714,群益道瓊美國地產
00715L,期街口布蘭特正2
00717,富邦美國特別股
00730,富邦臺灣優質高息
00728,第一金工業30
00731,復華富時高息低波(原簡稱:FH富時高息低波)
00733,富邦臺灣中小
00738U,期元大道瓊白銀
00735,國泰臺韓科技
00736,國泰新興市場
00737,國泰AI機器人
00739,元大MSCI A股
00752,中信中國50
00753L,中信中國50正2
00757,統一FANG+
00763U,期街口道瓊銅
00762,元大全球AI
00770,國泰北美科技
00775B,新光投等債15+
